Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
side,-0.02,-1.01,0.11,1.95,1.04,-0.37,-27.00,-1.00,17.00
side,-0.02,-1.01,0.11,-1.40,0.49,-0.12,-28.00,2.00,15.00
side,-0.02,-1.00,0.11,0.67,0.24,-0.12,-31.00,0.00,13.00
side,-0.02,-1.00,0.11,-0.18,0.00,0.00,-31.00,0.00,12.00
side,-0.02,-1.00,0.11,0.98,0.12,-0.18,-30.00,-2.00,13.00
side,-0.02,-1.01,0.11,0.31,-0.12,-0.24,-29.00,-2.00,15.00
side,-0.02,-1.00,0.11,1.71,0.18,-0.12,-29.00,0.00,16.00
side,-0.02,-1.01,0.11,-0.12,0.18,-0.06,-31.00,1.00,15.00
side,-0.02,-1.00,0.11,0.85,0.00,-0.24,-30.00,-2.00,12.00
side,-0.02,-1.01,0.11,0.67,0.24,-0.18,-30.00,0.00,13.00
side,-0.02,-1.01,0.10,0.67,0.12,-0.18,-30.00,0.00,13.00
side,-0.02,-1.01,0.10,0.98,0.18,-0.24,-28.00,0.00,15.00
side,-0.02,-1.00,0.11,-0.43,-0.24,-0.18,-29.00,-1.00,14.00
side,-0.02,-1.01,0.10,0.24,0.24,0.00,-31.00,0.00,14.00
side,-0.02,-1.01,0.10,-0.98,0.06,-0.12,-30.00,0.00,14.00
side,-0.02,-1.01,0.10,-0.12,0.18,-0.06,-30.00,-1.00,16.00
side,-0.02,-1.01,0.10,0.85,0.18,-0.12,-30.00,0.00,17.00
side,-0.02,-1.01,0.10,-0.06,0.24,-0.12,-28.00,0.00,9.00
side,-0.02,-1.01,0.10,0.79,0.24,-0.31,-27.00,0.00,17.00
side,-0.02,-1.01,0.10,-1.77,0.06,-0.06,-30.00,2.00,14.00
side,-0.02,-1.00,0.11,-0.55,0.06,-0.18,-28.00,0.00,14.00
side,-0.02,-1.01,0.11,0.00,0.00,-0.06,-30.00,2.00,13.00
side,-0.02,-1.01,0.11,0.92,0.24,-0.18,-28.00,0.00,15.00
side,-0.02,-1.01,0.09,6.16,0.61,-1.04,-31.00,0.00,14.00
side,-0.02,-1.00,0.08,5.25,3.36,-1.59,-30.00,-2.00,15.00
side,-0.03,-1.01,0.02,12.15,1.10,-2.93,-31.00,0.00,9.00
side,-0.03,-1.01,0.03,6.96,-0.98,-1.59,-30.00,0.00,5.00
side,-0.02,-1.01,0.09,-14.83,-1.89,2.32,-30.00,-1.00,13.00
side,-0.02,-1.00,0.12,2.32,0.12,-0.55,-28.00,-2.00,11.00
side,-0.02,-1.01,0.11,2.87,0.67,-0.12,-30.00,2.00,11.00
side,-0.02,-1.01,0.10,0.61,0.06,-0.24,-30.00,0.00,18.00
side,-0.02,-1.01,0.10,1.16,0.24,-0.18,-29.00,0.00,15.00
side,-0.02,-1.01,0.09,0.24,0.18,-0.12,-30.00,1.00,13.00
side,-0.02,-1.01,0.09,1.46,0.31,-0.18,-32.00,0.00,14.00
side,-0.02,-1.01,0.08,-22.28,-5.19,2.44,-28.00,0.00,14.00
side,-0.01,-1.00,0.15,0.55,0.06,-1.04,-26.00,2.00,16.00
side,-0.02,-1.01,0.12,5.86,0.00,-0.55,-27.00,1.00,12.00
side,-0.01,-1.00,0.15,0.00,0.00,1.34,-27.00,1.00,15.00
side,-0.01,-1.00,0.15,0.31,0.18,-0.49,-28.00,2.00,17.00
side,-0.01,-1.00,0.15,0.31,0.12,-0.12,-28.00,0.00,18.00
side,-0.01,-1.00,0.15,0.24,0.12,0.00,-28.00,0.00,19.00
side,-0.01,-1.00,0.14,-1.28,-0.06,-0.06,-29.00,0.00,13.00
side,-0.01,-1.00,0.15,2.38,0.24,-0.31,-27.00,1.00,17.00
side,-0.01,-1.00,0.14,0.31,0.18,-0.12,-29.00,-1.00,16.00
side,-0.01,-1.00,0.14,0.06,0.00,-0.06,-30.00,0.00,16.00
side,-0.01,-1.00,0.14,0.79,-0.12,-0.12,-28.00,2.00,15.00
side,-0.01,-1.00,0.13,1.04,0.31,-0.43,-28.00,1.00,14.00
side,-0.01,-1.00,0.13,0.37,0.24,-0.18,-29.00,-1.00,14.00
side,-0.02,-1.00,0.13,0.37,0.18,-0.12,-29.00,0.00,16.00
side,-0.02,-1.00,0.13,0.79,0.18,-0.18,-30.00,0.00,14.00
side,-0.01,-1.00,0.13,-0.61,0.31,0.00,-30.00,0.00,15.00
side,-0.01,-1.00,0.13,0.79,0.24,-0.12,-29.00,0.00,17.00
side,-0.01,-1.00,0.13,-0.12,-0.06,-0.12,-30.00,2.00,17.00
side,-0.01,-1.00,0.15,-0.79,-0.31,0.55,-28.00,2.00,17.00
side,-0.00,-1.00,0.20,-35.10,-1.71,5.43,-25.00,1.00,17.00
side,0.01,-0.98,0.25,10.07,0.79,-1.10,-22.00,-1.00,23.00
side,-0.01,-1.01,0.08,69.27,15.44,-10.62,-26.00,1.00,16.00
side,-0.02,-1.01,0.07,4.09,-0.24,-0.67,-31.00,1.00,9.00
side,-0.02,-1.01,0.04,2.44,-0.55,-0.24,-32.00,0.00,8.00
side,-0.02,-1.01,0.03,-13.73,-0.49,1.40,-31.00,4.00,11.00
side,-0.01,-1.01,0.13,-2.99,-2.32,0.37,-29.00,0.00,17.00
side,-0.01,-1.00,0.15,-1.59,0.61,-0.06,-29.00,1.00,16.00
side,-0.00,-1.00,0.17,-2.44,0.24,0.31,-26.00,1.00,18.00
side,-0.01,-1.00,0.16,0.49,0.37,-0.18,-25.00,0.00,15.00
side,-0.01,-1.00,0.16,0.67,0.18,-0.24,-26.00,1.00,13.00
side,-0.01,-1.00,0.16,2.32,-0.12,-0.61,-27.00,-1.00,18.00
side,-0.01,-1.00,0.13,7.26,1.16,-1.40,-29.00,-1.00,18.00
side,-0.01,-1.01,0.11,5.37,0.37,-0.55,-30.00,0.00,11.00
side,-0.01,-1.00,0.11,-2.62,0.00,0.06,-28.00,2.00,16.00
side,-0.01,-1.00,0.12,-1.83,0.18,-0.06,-28.00,-1.00,14.00
side,-0.01,-1.00,0.11,2.99,0.12,-0.37,-29.00,0.00,13.00
side,-0.01,-1.01,0.11,3.30,-7.63,0.61,-27.00,0.00,15.00
side,-0.01,-1.00,0.14,0.85,-0.43,-0.73,-29.00,0.00,12.00
side,-0.01,-1.00,0.15,-0.49,-0.06,-0.43,-29.00,1.00,15.00
side,-0.00,-0.99,0.19,-10.44,-0.79,1.83,-24.00,1.00,16.00
side,-0.01,-1.00,0.17,10.25,0.98,-1.77,-29.00,-1.00,20.00
side,-0.01,-1.00,0.15,-0.18,0.43,-0.24,-28.00,0.00,15.00
side,-0.01,-1.00,0.15,0.49,0.00,-0.12,-28.00,1.00,15.00
side,-0.01,-1.00,0.13,1.16,0.37,-0.37,-28.00,-1.00,16.00
side,-0.01,-1.00,0.13,1.95,0.06,-0.55,-32.00,0.00,17.00
side,-0.01,-1.00,0.13,0.49,-0.12,-0.12,-30.00,0.00,19.00
side,-0.02,-1.00,0.12,9.58,0.18,-1.16,-29.00,0.00,13.00
side,-0.02,-1.01,0.09,-3.36,-0.12,0.37,-30.00,0.00,11.00
