Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
supine,0.01,-0.01,1.00,2.56,0.98,-24.60,53.00,-4.00,18.00
supine,0.01,-0.01,1.01,2.08,0.49,-34.24,49.00,-5.00,18.00
supine,0.01,-0.05,1.00,-2.81,3.36,-40.16,46.00,-12.00,19.00
supine,-0.02,-0.05,1.00,0.49,-0.18,-13.31,45.00,-15.00,16.00
supine,-0.01,0.03,0.99,-12.08,-4.39,91.55,44.00,-12.00,19.00
supine,0.02,-0.03,1.02,9.16,0.67,21.85,49.00,-8.00,18.00
supine,0.01,-0.09,0.98,-15.69,4.88,-2.50,44.00,-4.00,24.00
supine,0.02,-0.04,1.01,-22.77,1.53,-25.94,48.00,-6.00,21.00
supine,0.01,-0.06,1.00,-2.93,1.22,-30.64,49.00,-9.00,24.00
supine,-0.00,-0.05,1.01,-0.18,-1.04,-17.88,47.00,-14.00,20.00
supine,-0.01,-0.04,1.00,-0.18,-0.24,-8.30,43.00,-13.00,20.00
supine,0.01,-0.05,1.01,-0.06,-0.31,5.37,44.00,-15.00,18.00
supine,0.01,-0.05,1.00,0.98,0.06,25.88,43.00,-15.00,19.00
supine,0.01,-0.05,1.01,-0.18,0.00,10.38,44.00,-10.00,24.00
supine,0.01,-0.03,1.00,0.06,0.12,0.37,46.00,-11.00,16.00
supine,0.02,-0.03,1.00,-0.67,0.37,5.19,47.00,-9.00,19.00
supine,0.01,-0.04,1.00,-2.69,1.34,10.25,47.00,-8.00,21.00
supine,0.01,-0.03,1.00,1.40,-0.49,3.11,47.00,-7.00,19.00
supine,0.02,-0.03,1.00,-0.92,0.61,-0.49,48.00,-9.00,20.00
supine,0.02,-0.03,1.00,0.31,0.12,0.31,47.00,-9.00,16.00
supine,0.01,-0.03,1.00,0.18,0.06,-0.18,47.00,-9.00,20.00
supine,0.02,-0.06,1.00,-0.06,0.85,5.86,48.00,-9.00,17.00
supine,0.02,-0.01,1.00,1.89,-1.22,17.09,47.00,-6.00,18.00
supine,0.02,-0.04,1.00,0.31,0.18,7.08,48.00,-5.00,17.00
supine,0.02,-0.04,1.00,0.18,0.06,2.44,47.00,-4.00,23.00
supine,0.01,-0.03,1.00,-0.73,0.55,-0.31,51.00,-4.00,17.00
supine,0.02,-0.03,1.00,0.24,0.06,-0.43,49.00,-4.00,19.00
supine,0.02,-0.02,1.00,0.12,0.00,-5.80,48.00,-5.00,16.00
supine,0.01,-0.04,1.00,0.12,-0.18,-6.59,49.00,-4.00,17.00
supine,0.02,-0.02,1.00,0.00,0.12,0.12,49.00,-5.00,21.00
supine,0.01,-0.01,1.00,-0.06,0.18,-2.14,48.00,-8.00,20.00
supine,0.02,-0.02,1.00,-0.06,0.24,-0.12,48.00,-7.00,19.00
supine,0.02,-0.02,1.00,-0.06,0.18,0.73,49.00,-9.00,19.00
supine,0.02,-0.02,1.00,0.06,0.12,-0.18,48.00,-10.00,22.00
supine,0.02,-0.02,1.00,0.00,0.18,-0.12,46.00,-8.00,19.00
supine,0.02,-0.03,1.00,0.00,0.18,0.12,49.00,-8.00,17.00
supine,0.02,-0.02,1.01,0.00,0.43,-2.38,48.00,-6.00,16.00
supine,0.02,-0.03,1.00,0.06,0.43,0.31,48.00,-9.00,21.00
supine,0.02,-0.03,1.00,1.28,-0.43,0.61,48.00,-7.00,22.00
supine,0.01,-0.03,1.00,-0.49,0.31,-1.04,48.00,-6.00,17.00
supine,0.02,-0.02,1.00,-0.18,0.24,2.14,46.00,-8.00,22.00
supine,0.02,-0.03,1.00,0.43,0.00,0.18,48.00,-8.00,22.00
