Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
side,0.02,0.96,-0.05,0.00,0.00,-0.18,58.00,-1.00,-70.00
side,0.02,0.96,-0.05,0.49,-0.12,-0.12,60.00,-3.00,-70.00
side,0.02,0.96,-0.04,1.22,-1.28,0.00,61.00,-2.00,-71.00
side,0.02,0.96,-0.04,1.28,-0.73,0.37,63.00,-1.00,-69.00
side,0.01,0.96,-0.04,1.22,-0.31,0.37,61.00,-3.00,-74.00
side,0.01,0.96,-0.03,0.67,-0.18,-0.06,61.00,-2.00,-65.00
side,0.01,0.96,-0.03,0.24,0.06,-0.18,62.00,-2.00,-69.00
side,0.01,0.96,-0.03,0.67,0.12,-0.12,61.00,-4.00,-69.00
side,0.01,0.96,-0.03,-0.85,0.18,-0.12,60.00,-3.00,-65.00
side,0.01,0.96,-0.03,-0.18,0.24,-0.12,60.00,-2.00,-67.00
side,0.01,0.96,-0.03,0.43,0.00,-0.12,61.00,-4.00,-73.00
side,0.01,0.96,-0.03,-0.06,0.18,-0.12,61.00,-4.00,-66.00
side,0.01,0.96,-0.03,0.00,0.12,-0.18,61.00,-3.00,-68.00
side,0.01,0.96,-0.04,-0.55,0.12,-0.12,61.00,-1.00,-68.00
side,0.01,0.96,-0.04,-0.06,0.18,-0.12,61.00,-2.00,-67.00
side,0.01,0.96,-0.03,-0.24,0.18,-0.12,61.00,-1.00,-71.00
side,0.01,0.96,-0.04,-0.18,0.18,-0.12,61.00,-1.00,-70.00
side,0.01,0.96,-0.03,0.73,0.18,-0.24,62.00,-2.00,-69.00
side,0.01,0.96,-0.03,0.73,0.06,-0.18,61.00,-2.00,-67.00
side,0.01,0.96,-0.03,0.24,0.12,-0.12,59.00,-1.00,-69.00
side,0.01,0.96,-0.03,0.00,0.18,-0.18,59.00,-4.00,-72.00
side,0.01,0.96,-0.03,0.37,0.12,-0.12,61.00,-1.00,-68.00
side,0.01,0.96,-0.03,0.18,0.12,-0.18,62.00,-1.00,-66.00
side,0.01,0.96,-0.03,-0.49,0.00,-0.12,60.00,-4.00,-72.00
side,0.01,0.96,-0.03,0.00,0.18,-0.12,61.00,-3.00,-72.00
side,0.01,0.96,-0.03,0.24,-0.49,-0.12,61.00,-4.00,-71.00
side,0.01,0.96,-0.03,0.73,-0.18,-0.06,61.00,-4.00,-70.00
side,0.01,0.96,-0.03,-0.06,0.24,-0.18,59.00,-4.00,-73.00
side,0.01,0.96,-0.03,1.34,0.00,-0.12,62.00,-3.00,-72.00
side,0.01,0.96,-0.03,1.16,-0.43,-0.06,61.00,-4.00,-64.00
side,0.00,0.96,-0.01,-2.08,1.34,0.12,61.00,-4.00,-68.00
side,0.01,0.97,-0.00,5.74,-3.97,1.83,62.00,-2.00,-66.00
side,0.00,0.96,0.02,3.66,-2.99,0.67,61.00,-3.00,-68.00
side,-0.00,0.97,0.02,0.06,0.06,-0.12,63.00,-3.00,-63.00
side,0.00,0.96,-0.01,-14.22,5.37,-3.23,61.00,-4.00,-67.00
side,0.01,0.96,-0.01,-1.28,7.69,1.22,59.00,-1.00,-70.00
side,0.02,0.96,-0.11,-13.37,7.87,-1.95,59.00,0.00,-71.00
side,0.01,0.96,-0.09,-4.33,0.79,-1.22,61.00,0.00,-72.00
side,0.01,0.97,-0.05,22.52,-8.30,1.16,63.00,-1.00,-70.00
side,-0.02,0.96,0.05,27.34,-5.98,5.62,63.00,-1.00,-62.00
side,-0.03,0.95,0.12,6.65,-1.53,0.06,67.00,0.00,-62.00
side,-0.03,0.96,0.10,0.61,-2.87,-0.73,66.00,0.00,-59.00
side,-0.02,0.96,0.10,-4.27,-4.88,-1.59,64.00,0.00,-64.00
side,-0.02,0.96,0.09,-0.67,-3.42,0.18,65.00,-1.00,-66.00
