Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
side,0.02,-1.01,0.06,0.55,0.12,-0.06,-44.00,-7.00,-65.00
side,0.02,-1.01,0.06,-0.67,-0.18,-0.06,-41.00,-6.00,-63.00
side,0.02,-1.01,0.06,0.98,0.24,-0.18,-46.00,-8.00,-65.00
side,0.02,-1.01,0.06,0.73,0.18,-0.06,-45.00,-8.00,-67.00
side,0.02,-1.01,0.04,4.46,0.92,-0.12,-42.00,-7.00,-66.00
side,0.01,-1.01,0.04,3.97,1.10,-0.12,-43.00,-8.00,-61.00
side,0.02,-1.01,0.04,-3.17,0.12,-0.12,-44.00,-8.00,-66.00
side,0.02,-1.01,0.05,-2.87,0.06,-0.06,-44.00,-7.00,-65.00
side,0.02,-1.01,0.06,-0.37,0.18,-0.06,-42.00,-8.00,-68.00
side,0.02,-1.01,0.06,-0.18,0.18,-0.12,-45.00,-6.00,-66.00
side,0.02,-1.01,0.06,-1.16,0.12,-0.12,-45.00,-8.00,-68.00
side,0.02,-1.01,0.06,-0.49,0.18,-0.12,-43.00,-7.00,-64.00
side,0.02,-1.01,0.06,-0.79,0.12,-0.12,-44.00,-10.00,-68.00
side,0.02,-1.01,0.06,0.24,0.18,-0.06,-44.00,-7.00,-68.00
side,0.02,-1.01,0.06,-0.37,0.12,-0.12,-44.00,-8.00,-63.00
side,0.02,-1.01,0.06,0.06,0.18,-0.06,-42.00,-9.00,-62.00
side,0.02,-1.01,0.06,0.24,0.12,-0.12,-44.00,-8.00,-67.00
side,0.02,-1.01,0.06,0.49,-0.12,-0.12,-45.00,-8.00,-63.00
side,0.02,-1.01,0.06,0.73,0.12,-0.12,-43.00,-8.00,-60.00
side,0.02,-1.01,0.06,0.85,0.18,-0.12,-42.00,-8.00,-63.00
side,0.02,-1.01,0.05,0.79,0.12,-0.06,-44.00,-9.00,-72.00
side,0.02,-1.01,0.05,1.65,0.24,-0.06,-43.00,-9.00,-68.00
side,0.02,-1.01,0.05,-0.24,0.18,-0.06,-44.00,-9.00,-69.00
side,0.02,-1.01,0.05,-0.49,0.18,-0.12,-41.00,-9.00,-63.00
side,0.02,-1.01,0.05,-0.12,0.12,-0.12,-44.00,-8.00,-61.00
side,0.02,-1.01,0.05,0.00,0.18,-0.12,-43.00,-9.00,-64.00
side,0.02,-1.01,0.05,-0.37,0.12,-0.12,-44.00,-7.00,-68.00
side,0.02,-1.01,0.05,-0.37,0.18,-0.12,-45.00,-8.00,-64.00
side,0.02,-1.01,0.06,-0.18,0.18,-0.12,-44.00,-9.00,-67.00
side,0.02,-1.01,0.06,0.92,0.18,-0.06,-43.00,-7.00,-65.00
side,0.02,-1.01,0.05,0.00,0.18,-0.12,-43.00,-8.00,-64.00
side,0.02,-1.01,0.06,-0.55,0.12,-0.12,-45.00,-10.00,-66.00
side,0.02,-1.01,0.06,0.18,0.12,-0.12,-42.00,-9.00,-61.00
side,0.02,-1.01,0.06,-0.67,0.00,-0.12,-44.00,-8.00,-66.00
side,0.02,-1.01,0.06,0.18,0.12,-0.06,-44.00,-12.00,-69.00
side,0.02,-1.01,0.06,0.12,0.24,-0.12,-43.00,-8.00,-65.00
side,0.02,-1.01,0.06,0.00,0.18,-0.06,-44.00,-7.00,-64.00
side,0.02,-1.01,0.06,1.16,0.12,-0.06,-43.00,-8.00,-63.00
side,0.02,-1.01,0.05,0.43,0.18,-0.18,-41.00,-10.00,-62.00
side,0.02,-1.01,0.05,-0.61,0.12,0.00,-44.00,-9.00,-63.00
side,0.02,-1.01,0.05,-0.49,0.24,-0.12,-42.00,-8.00,-67.00
side,0.02,-1.01,0.05,-0.37,0.18,-0.12,-44.00,-8.00,-63.00
side,0.02,-1.01,0.05,0.00,0.31,-0.12,-45.00,-7.00,-68.00
side,0.02,-1.01,0.05,0.00,0.43,-0.06,-43.00,-9.00,-63.00
side,0.02,-1.01,0.06,-0.49,0.24,-0.12,-44.00,-10.00,-66.00
side,0.02,-1.01,0.06,-0.24,0.12,-0.12,-44.00,-8.00,-65.00
side,0.02,-1.01,0.06,-0.06,0.18,-0.06,-44.00,-8.00,-65.00
side,0.02,-1.01,0.06,0.67,0.18,-0.12,-44.00,-8.00,-63.00
side,0.02,-1.01,0.06,0.18,0.12,-0.12,-44.00,-7.00,-64.00
side,0.02,-1.01,0.05,0.06,0.18,-0.06,-42.00,-7.00,-66.00
side,0.02,-1.01,0.06,0.00,0.18,-0.06,-43.00,-6.00,-62.00
side,0.02,-1.01,0.06,-0.24,0.24,-0.12,-43.00,-7.00,-68.00
side,0.02,-1.01,0.06,0.31,0.18,-0.06,-45.00,-9.00,-67.00
side,0.02,-1.01,0.05,0.55,0.18,-0.12,-42.00,-9.00,-64.00
side,0.02,-1.01,0.05,-0.12,0.24,-0.12,-43.00,-6.00,-65.00
side,0.02,-1.01,0.05,-0.06,0.12,-0.12,-42.00,-6.00,-68.00
side,0.02,-1.01,0.05,0.18,0.06,-0.12,-44.00,-8.00,-62.00
side,0.02,-1.01,0.05,0.92,0.18,-0.06,-43.00,-8.00,-66.00
side,0.02,-1.01,0.05,0.37,0.24,-0.06,-43.00,-7.00,-64.00
side,0.02,-1.01,0.05,-0.24,0.12,-0.06,-43.00,-9.00,-66.00
side,0.02,-1.01,0.05,-0.31,0.18,-0.12,-45.00,-8.00,-67.00
side,0.02,-1.01,0.05,-0.37,0.24,-0.12,-45.00,-11.00,-62.00
side,0.02,-1.01,0.05,0.43,0.18,-0.18,-41.00,-8.00,-65.00
side,0.02,-1.01,0.05,-0.55,0.31,-0.12,-43.00,-8.00,-64.00
side,0.02,-1.01,0.05,0.55,0.12,-0.12,-42.00,-6.00,-64.00
side,0.02,-1.01,0.05,0.67,0.18,-0.12,-40.00,-9.00,-64.00
side,0.02,-1.01,0.05,-0.18,0.18,-0.06,-43.00,-7.00,-63.00
side,0.02,-1.01,0.05,0.06,0.12,-0.12,-43.00,-8.00,-64.00
side,0.01,-1.01,0.06,-0.31,0.18,-0.12,-44.00,-7.00,-66.00
side,0.02,-1.01,0.05,0.12,0.12,-0.06,-44.00,-8.00,-65.00
side,0.02,-1.01,0.06,0.00,0.12,-0.12,-43.00,-8.00,-66.00
side,0.02,-1.01,0.05,0.24,0.18,-0.18,-43.00,-8.00,-68.00
side,0.02,-1.01,0.06,0.73,0.12,-0.06,-43.00,-10.00,-68.00
side,0.02,-1.01,0.05,0.37,0.24,-0.06,-44.00,-9.00,-59.00
side,0.02,-1.01,0.05,-0.18,0.18,-0.12,-44.00,-7.00,-64.00
side,0.02,-1.01,0.05,-0.18,0.18,-0.06,-45.00,-9.00,-62.00
side,0.02,-1.01,0.05,0.18,0.24,-0.18,-43.00,-9.00,-65.00
side,0.02,-1.01,0.05,0.24,0.12,-0.12,-44.00,-8.00,-66.00
side,0.02,-1.01,0.05,1.34,0.12,-0.06,-44.00,-8.00,-66.00
side,0.01,-1.01,0.05,0.43,0.43,-0.12,-43.00,-8.00,-64.00
side,0.02,-1.01,0.05,-0.92,0.24,-0.12,-42.00,-8.00,-69.00
side,0.02,-1.01,0.05,-0.24,0.18,-0.06,-45.00,-9.00,-67.00
side,0.02,-1.01,0.05,-1.16,0.31,-0.18,-43.00,-8.00,-63.00
side,0.02,-1.01,0.06,-0.73,0.24,-0.12,-42.00,-5.00,-68.00
side,0.02,-1.01,0.06,-0.43,0.37,-0.12,-42.00,-8.00,-65.00
side,0.02,-1.01,0.06,0.12,0.18,-0.12,-44.00,-7.00,-66.00
side,0.02,-1.01,0.06,0.18,0.24,-0.12,-42.00,-8.00,-66.00
side,0.02,-1.01,0.06,1.16,0.12,-0.06,-44.00,-6.00,-66.00
side,0.02,-1.01,0.03,15.14,2.32,-0.12,-42.00,-8.00,-66.00
side,0.02,-1.01,0.02,3.85,2.69,0.24,-42.00,-6.00,-64.00
side,0.02,-1.01,0.01,-1.10,0.18,-0.06,-43.00,-6.00,-69.00
side,0.02,-1.01,0.01,0.06,0.06,-0.12,-41.00,-6.00,-68.00
side,0.02,-1.01,0.00,2.99,0.24,-0.06,-43.00,-7.00,-67.00
side,0.02,-1.01,0.00,1.65,0.18,-0.12,-42.00,-6.00,-65.00
side,0.02,-1.01,-0.02,3.54,1.04,-0.06,-42.00,-7.00,-70.00
side,0.02,-1.01,-0.02,1.46,0.18,-0.12,-42.00,-8.00,-69.00
side,0.02,-1.01,-0.03,-7.26,-0.12,-0.12,-39.00,-7.00,-71.00
side,0.02,-1.01,-0.06,17.82,1.22,0.00,-39.00,-7.00,-75.00
side,0.02,-1.01,-0.12,2.69,0.18,-0.12,-36.00,-6.00,-72.00
side,0.02,-1.00,-0.12,0.18,0.18,-0.18,-38.00,-5.00,-75.00
side,0.02,-1.00,-0.12,3.11,0.67,-0.06,-35.00,-7.00,-78.00
side,0.02,-1.00,-0.14,14.65,3.30,0.43,-34.00,-9.00,-72.00
side,0.02,-1.00,-0.19,5.98,0.31,0.00,-33.00,-6.00,-83.00
side,0.02,-0.99,-0.20,-1.71,0.18,-0.12,-32.00,-5.00,-77.00
side,0.02,-0.99,-0.20,0.55,0.12,-0.18,-34.00,-7.00,-83.00
