Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
side,-0.02,0.97,0.13,-1.71,0.00,-0.06,57.00,-14.00,19.00
side,-0.00,0.97,0.07,-13.37,-1.28,-0.18,60.00,-13.00,12.00
side,-0.02,0.98,0.03,-7.14,3.78,0.12,60.00,-13.00,17.00
side,-0.03,0.98,-0.01,-17.09,-2.62,-0.61,60.00,-13.00,12.00
side,-0.02,0.98,0.01,18.43,-1.16,-2.26,61.00,-12.00,9.00
side,-0.02,0.97,0.10,19.53,-1.28,-0.49,59.00,-15.00,13.00
side,-0.02,0.97,0.12,-1.46,-0.12,-0.06,58.00,-12.00,15.00
side,-0.02,0.97,0.07,-27.71,-3.72,-0.18,59.00,-12.00,18.00
side,-0.02,0.98,-0.03,-19.84,-5.68,-0.31,60.00,-13.00,9.00
side,-0.02,0.98,-0.07,1.28,0.43,0.31,65.00,-12.00,10.00
side,-0.02,0.98,0.01,10.80,-0.37,-1.40,62.00,-12.00,9.00
side,-0.02,0.97,0.09,12.02,0.24,-0.18,60.00,-13.00,11.00
side,-0.02,0.97,0.08,-8.73,0.12,-0.06,60.00,-11.00,14.00
side,-0.02,0.98,0.04,-12.76,-0.79,-0.12,62.00,-11.00,10.00
side,-0.02,0.98,0.01,-0.37,0.79,-0.12,62.00,-12.00,14.00
side,-0.02,0.98,0.01,4.03,1.46,-0.92,61.00,-11.00,9.00
side,-0.02,0.97,0.06,18.49,0.24,-0.24,61.00,-12.00,13.00
side,-0.02,0.97,0.09,1.77,0.12,-0.12,59.00,-14.00,15.00
side,-0.02,0.97,0.09,0.00,0.18,-0.12,57.00,-11.00,18.00
side,-0.02,0.97,0.09,-1.77,0.18,-0.06,60.00,-12.00,18.00
side,-0.02,0.97,0.09,0.24,0.12,-0.18,60.00,-11.00,16.00
side,-0.02,0.97,0.09,-1.16,0.24,-0.12,58.00,-9.00,19.00
side,-0.02,0.97,0.09,0.12,0.18,-0.18,60.00,-10.00,16.00
side,-0.02,0.97,0.09,-0.31,0.12,-0.12,58.00,-12.00,15.00
side,-0.02,0.97,0.09,-0.49,0.06,-0.12,59.00,-11.00,16.00
side,-0.02,0.97,0.09,-0.85,0.12,-0.06,60.00,-12.00,12.00
side,-0.02,0.97,0.09,0.55,0.24,-0.12,56.00,-11.00,14.00
side,-0.02,0.97,0.09,0.12,0.24,-0.12,58.00,-12.00,17.00
side,-0.02,0.97,0.09,-0.37,0.12,-0.06,57.00,-12.00,19.00
side,-0.02,0.97,0.08,0.31,0.12,-0.18,61.00,-12.00,18.00
side,-0.02,0.97,0.08,0.73,0.24,-0.12,57.00,-12.00,16.00
side,-0.02,0.97,0.08,0.85,0.49,-0.12,59.00,-12.00,14.00
side,-0.02,0.97,0.08,0.06,0.18,-0.12,58.00,-11.00,12.00
side,-0.02,0.97,0.09,0.49,0.18,-0.12,58.00,-11.00,14.00
side,-0.02,0.97,0.09,0.79,0.06,-0.12,58.00,-13.00,11.00
side,-0.02,0.97,0.09,0.37,0.18,-0.12,57.00,-11.00,12.00
side,-0.02,0.97,0.09,0.24,0.24,-0.12,57.00,-13.00,14.00
side,-0.02,0.97,0.09,0.43,0.43,-0.12,59.00,-12.00,18.00
side,-0.02,0.97,0.09,-1.10,2.99,-0.12,60.00,-14.00,15.00
side,-0.02,0.97,0.09,0.00,0.12,-0.24,57.00,-12.00,16.00
side,-0.02,0.97,0.09,-0.12,0.18,-0.12,60.00,-15.00,20.00
